"week","contractId","contractAddress","creator","global_funder","global_funding","global_owner","estimatedRewards","global_period","global_total","global_initial","period","total"
1,402433,"LCWCRHZYFQZ773WXTI4RGE3LVWFMHXZAYN6KMPTYZCVMIYWRPODCEC32FM","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"CAL6HQKCWXZE2LQKLCFST2TYDU6GPUGM667B2EBGO2WSAUUF2XLI3K7LFA",,18,21954432735,"10350458500",,
1,402426,"SLX6HVMIT6H5NJKBP3XNFW3GSN33TLLDN2XT3Y2FOHUZ63PRALYPBVDUGI","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"CAL6HQKCWXZE2LQKLCFST2TYDU6GPUGM667B2EBGO2WSAUUF2XLI3K7LFA",,13,117273356401,"74000000000",,
1,402418,"VMSJERCEXIDICO5MQUZEV6IAI5A577ZXPUCJ4MH44KNJUTETNIGNSIHMBI","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"CAL6HQKCWXZE2LQKLCFST2TYDU6GPUGM667B2EBGO2WSAUUF2XLI3K7LFA",,13,133755017,"84400000",,
1,402411,"NDWAF3TZN4NXHAFRVWR4GEMDKWPTAHATICSL4YABEA3SZSIYHS2TQLR2VE","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"WG26SPF7QHDJBXIXRF6R2NGBX2GCNWU4XYQJNHLNEOOQ3SDD5H2M4N2F2Y",,18,27574394,"13000000",,
1,402286,"XCJ7T2ITIGYDRZ5PYZCUTGU5OJH4LZYNOLAZKPVGST4JGQ4BWSLXQCSCZM","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"ORADHH6KFY7A6JUTVVH4SHVUY7MXDWPTROSXHMWVJMWUFS6IKO5KASYOYE",,1,4006228,"4000000",,
1,402212,"PWSROD5M43CVVV6RQVPVP4JJ7LYHYZZKPLE3CK45VKI4VVBN2AMXS5HB5Q","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"MPBRY6SD5HJAI2NHFBV7JB4U55FAONEXFXS5HEZOMD6XM4WDEEFWQS7CNA",,18,3269687,"1541500",,
1,401473,"ZA37JLDOXMVEWMGFBVAN5L7OPEGG34VMEBLJBAVYFFKTAHHHB7ZP6QC4SM","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"5YSWBQPVJMUAKYZ5U4V3Z2WLUJDIFZ4RLOP2N37DZ4V66JWF3WWDZZRCNY",,1,2003114,"2000000",,
1,401338,"32AWN6KB6VTOYEORKV32TPI7HF7QEYX6RZORO3366GY3H5O72BX7TSAXOA","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"DGQXOJDOVCND4N2GOGN4QD5Q5XMYBJG4CJ6NY62FLVG3VJTII2W5IZN2FM",,18,82042572036,"38679124500",,
1,401233,"MRMSHGWZZPUJ6DZMX4EMF6EOL42QBTDRLMB45D5Z4A5B7TNAVS3QVVBFPU","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"RNEGLGIH4MOTTAUPGNNWXPZX56LZMAKN3WHXSIABPGUDR4I6JESVCO5Z7M",,1,110171280277,"110000000000",,
1,401188,"P2MIONSBOULCPCHSD2Q4QSHWT7KECU6YDTAA37XJV7WAHTAMCNMABU7M4M","U3JFLNF55P4X2GTISLPD2DEBEXHJCG6EK7FX4EPCP4WBFRHEX3KUEMLYKE","62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E",,"VA4OK63REWDID52DFK7Z4CKJQOPK5GAVGLMW2C5AYZPJKLSSZLITLZST7M",,18,42422145,"20000000",,
