contractId,contractAddress,creator,global_funder,global_funding,global_owner,estimatedRewards,global_period,global_total
297326,IWGPPMT3OYUPMK42WZ5LK7WE3RMUBHCXQJHT7CKDHSYN2YNG2UOFTLHAIY,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,UEQW56CSNI67DFOFCTDNBTX4WPN3O3U74T7CKCNOAVRQBHKG22MCDN7WJY,4013.29204,0,0
297319,M555KHZBGS2VOZ2HZNPRNBP2W2T3H2E3E4BQZ6RCJ22ND3BUX6PVDOCLCQ,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,ECU25AXJX3YWPTGM6J3BLOMV3YHBWBIKDGVVZBYOOJXIFAETLXAPJNNADI,23278.60543,5,0
297291,2A3MAGPGIMMR6HB5AO7Q3PX7V6M35JVZQ3FNIPEK5HSZW4YPEKSG75VREM,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,ZZ3Y2E2OYGJUXG63UZC7PTAIM5AG24SKCNK4H25EEQMB5PMXF5GZW24PIE,50000,5,0
297277,HYG4HFE2XQOJWNZXT5ECNKLWJCULBVJJRN4LNKPL3ZOWXUOVWQ4MVTXAVM,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,TQIIXPSZCH7RNKUBEZEFS6MNHA5VR2R25YKIBW7RA32WNXVLTMYTNMT6A4,7512.640843,0,0
297263,EZYVVAJWHXYZ5WMYZYOGWQLC6KXWNDL5RGEEOWD7XLY3SEMKIP5MGLUBW4,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,3TDBEN4C5D6D3X5PGGJXTTDF3M7QQI5PBPVDSO2VOQVRZJQGPYGH7NOO3I,3983.060085,0,0
297256,WFHOHJZSJE7YHNGV2TWYRYAMPAFBSODA7CFHEVEZMNVD2VMVJ2MKMHUO3Y,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,NWGGDFUVNSXFYOQ47JKSTV5G7O3PQ3U4UHXFJR6LUVIQNUHYKNNOJIRT5Q,6220.224762,0,0
297249,FJXI3GHBSNZXSKQGH2PPNQONMFD63ILO7XEIASWCYPUSDLN2E5KSB7OOZ4,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,EVHFPKHJSTF2ARBLV2FSRAIQBYSLOJ2QEH6IQWZNMNDJEBHPXORSFTOWD4,6205.108784,0,0
297228,PXMICUF5LFQWN7BNO6VNAKIC7VASBTHBXX6G2T7TIWUASS3DGOVMR7V2QQ,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,S4XWFRE3CSVPGG2HBDIGNIUIFJOO5SH37SV5BOKZIMBSHTQ3A3FG5FANTA,3998.176062,0,0
297207,HMQR6TSM3XPUPW4DDTK2BNSQH5NCQEFZERK52SPIKZVDJHEVCFPMSZCOX4,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,3T77PEBNIT6D4U3YWZD54GKR2GQJXJLO7COBN25R7X24EY36IRPWZDIRLI,4436.539411,0,0
297200,HPCXZPZ3LI5OU25SFQHJ5IUVFGFSCSYF4R6GI5FE5PYSI2FTEIUHU45HV4,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,3SD5AUEFXQ4L2U3EF3KTTNKGLX2P3BH54H6HVVZQ5ZOWBUYV4JX2EYEIJM,90.695865,0,0
297172,OCOJPJN7JKSXW2WUMORUTMBUHQUFHQ7KIJRUT7PHYZ2IWHH3RE7IYMD6ZM,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,DJASBA6SCNC5HT463XRDONJ7W44HM4KXK7UB3TOF7ISZONSHG4YVTGTQWE,50000,5,0
297165,3LUGTPC2VBNN7JAXTLD4BLGO7B2QCSCPEDRDVPSBLDUDPFY6HZC6X3NJCI,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,GKC3775ZYEWUYAI53I5EKNAIQ6W4ZUEXWFKJPQZKSXYKQKEAWVZR6HHAGY,7.557989,0,0
297158,YUNLOSCIF3A3NUOBTLLLOQP2TZP5BGUIKLBSUX5LQAC5SELT4WMXVFY4FI,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,5C65H3LTT6VMJCWGT5JUHF2YFIU2GOEWGWWATAYWXLVDIV7XPBJXLQM53A,4980.714603,0,0
297123,QHHTJOAEL6JLZXENBV7IB4JNG5274ZLFGATKUDFBUI67NFNMMI7SEQ5Q7U,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,XXID35UFLACCAOFS2BP2Q7IDBFWBE4IZYYKCOHGFPRE3XMKKKYSARLUTSQ,8162.627877,0,0
297109,IGV2A52CRXOLSP6RC7ECM7E7JKSRAAOCECMOAN7PANOXRGBJ5SAG2FHJZM,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,3SZWLS2724VMWTU7Y64GXZE5UXARAHECSQVJFBGROZ5HLPHTYCNLQRKGFQ,7.557989,0,0
297102,LKJ7CONUOOLXVP7HYR7G7DLW2GTBDEXLAKND54UNCMEJHWPSOHTHYWKYQY,ZVFHWU2RALKLFPBJ6KKDURUE7XK7KTG26R7I5XE6VPKR3F2ESSDJCDPQGI,62TIVJSZOS4DRSSYYDDZELQAGFYQC5JWKCHRBPPYKTZN2OOOXTGLB5ZJ4E,1730073600,XVCTAD4VCXBJQGJF6JSCRHASNHTJWKS5P64C23JDUPFDKVA3JHHUCSZSUI,30534.27465,0,0
